"STATISTIC","Statistic Label","TLIST(D1)","Daily","C03634V04374","Daily and Seven Day Rolling Totals","UNIT","VALUE"
"CBM03C01","Debit Card Transactions - Total","2020M03D01","2020 March 01","10","Daily total","Number","3259740"
"CBM03C01","Debit Card Transactions - Total","2020M03D01","2020 March 01","20","Seven day rolling total","Number",""
"CBM03C01","Debit Card Transactions - Total","2020M03D02","2020 March 02","10","Daily total","Number","3245856"
"CBM03C01","Debit Card Transactions - Total","2020M03D02","2020 March 02","20","Seven day rolling total","Number",""
"CBM03C01","Debit Card Transactions - Total","2020M03D03","2020 March 03","10","Daily total","Number","3392281"
"CBM03C01","Debit Card Transactions - Total","2020M03D03","2020 March 03","20","Seven day rolling total","Number",""
"CBM03C01","Debit Card Transactions - Total","2020M03D04","2020 March 04","10","Daily total","Number","3419662"
"CBM03C01","Debit Card Transactions - Total","2020M03D04","2020 March 04","20","Seven day rolling total","Number",""
"CBM03C01","Debit Card Transactions - Total","2020M03D05","2020 March 05","10","Daily total","Number","3860407"
"CBM03C01","Debit Card Transactions - Total","2020M03D05","2020 March 05","20","Seven day rolling total","Number",""
"CBM03C01","Debit Card Transactions - Total","2020M03D06","2020 March 06","10","Daily total","Number","4401660"
"CBM03C01","Debit Card Transactions - Total","2020M03D06","2020 March 06","20","Seven day rolling total","Number",""
"CBM03C01","Debit Card Transactions - Total","2020M03D07","2020 March 07","10","Daily total","Number","4016649"
"CBM03C01","Debit Card Transactions - Total","2020M03D07","2020 March 07","20","Seven day rolling total","Number","25596256"
"CBM03C01","Debit Card Transactions - Total","2020M03D08","2020 March 08","10","Daily total","Number","3072928"
"CBM03C01","Debit Card Transactions - Total","2020M03D08","2020 March 08","20","Seven day rolling total","Number","25409444"
"CBM03C01","Debit Card Transactions - Total","2020M03D09","2020 March 09","10","Daily total","Number","3149519"
"CBM03C01","Debit Card Transactions - Total","2020M03D09","2020 March 09","20","Seven day rolling total","Number","25313107"
"CBM03C01","Debit Card Transactions - Total","2020M03D10","2020 March 10","10","Daily total","Number","3403546"
